komentar,clean,normal
video yang bakal tembus 20 juta penonton kalau saja indonesia masuk piala dunia,video yang bakal tembus juta penonton kalau saja indonesia masuk piala dunia,video yang bakal tembus juta penonton kalau saja indonesia masuk piala dunia
Mau nonton tapi masih sakit banget rasanya kalah. Titip komen dulu dah ya,mau nonton tapi masih sakit banget rasanya kalah titip komen dulu dah ya,mau nonton tapi masih sakit banget rasanya kalah titip komen dulu dah ya
gpp...5 thn lagi dicoba... dg pelatih baru dan squad yg tersisa❤,gpp thn lagi dicoba dg pelatih baru dan squad yg tersisa,gpp thn lagi dicoba dg pelatih baru dan squad yang tersisa
Merinding,merinding,merinding
kekalahan paling menyakitkan,kekalahan paling menyakitkan,kekalahan paling menyakitkan
Pecat Kluivert dan turun Eric Tohir dari PSSI kembali kan coach STY,pecat kluivert dan turun eric tohir dari pssi kembali kan coach sty,pecat kluivert dan turun eric tohir dari pssi kembali kan coach sty
Piala dunia 😂😂😂<br>Nonton aja dirmh. Cetak gol sush2 boro2 main pildun,piala dunia brnonton aja dirmh cetak gol sush boro main pildun,piala dunia brnonton aja dirmh cetak gol sush boro main pildun
udah lah kami kecewa,udah lah kami kecewa,udah lah kami kecewa
andai alex pastoor × sty,andai alex pastoor sty,andai alex pastoor sty
PK out,pk out,pk out
🎉🎉🎉,,
"gw pernah bilang kangen video inside timnas (locker room) tapi itu era STY bukan era PK, di era ini justru kaya era SM yang mana timnas mengalami penurunan setelah era LM",gw pernah bilang kangen video inside timnas locker room tapi itu era sty bukan era pk di era ini justru kaya era sm yang mana timnas mengalami penurunan setelah era lm,gw pernah bilang kangen video inside timnas locker room tapi itu era sty bukan era pk di era ini justru kaya era sm yang mana timnas mengalami penurunan setelah era lm
Trimakasih untuk perjuangan garuda <br>Perjuangan blum berakhir. Tetap tegak menuju kberhasilan <br>Kalo bukan hari ini. Bukan tahun ini. <br>Ini tim untuk masa depan. Bravo Timnas kalian pejuang2 terhebat yang tlah membuat kami bangga memiliki Timnas yang maju naik level..,trimakasih untuk perjuangan garuda brperjuangan blum berakhir tetap tegak menuju kberhasilan brkalo bukan hari ini bukan tahun ini brini tim untuk masa depan bravo timnas kalian pejuang terhebat yang tlah membuat kami bangga memiliki timnas yang maju naik level,trimakasih untuk perjuangan garuda brperjuangan blum berakhir tetap tegak menuju kberhasilan brkalo bukan hari ini bukan tahun ini brini tim untuk masa depan bravo timnas kalian pejuang terhebat yang tlah membuat kami bangga memiliki timnas yang maju naik level
"Kluivert out anjing,pelatih tarkam",kluivert out anjingpelatih tarkam,kluivert out anjingpelatih tarkam
Pecat pelatih Kluivert... Please😢,pecat pelatih kluivert please,pecat pelatih kluivert please
Kembalikan Shin Tae-Yong (STY),kembalikan shin taeyong sty,kembalikan shin taeyong sty
Yg milih s patrick jd pelatih kepala timnas !! Fiks sih itu org ter-tolol se indonesia NO DEBAT !!!,yg milih s patrick jd pelatih kepala timnas fiks sih itu org tertolol se indonesia no debat,yang milih s patrick jd pelatih kepala timnas fiks sih itu org tertolol se indonesia no debat
Patrick Kluivert OUT... Sangat tidak cocok melatih timnas.. strateginya mudah dibaca lawan..,patrick kluivert out sangat tidak cocok melatih timnas strateginya mudah dibaca lawan,patrick kluivert out sangat tidak cocok melatih timnas strateginya mudah dibaca lawan
Patrik out please,patrik out please,patrik out please
Pelatih dan erik tohir bngsat,pelatih dan erik tohir bngsat,pelatih dan erik tohir bngsat
Harus bisa kita curi akibat pelatih Petrickout susunan pemain yang begitu kurang memuaskan klok Yacob Beckham nilai kamu di lapangan 5 kamu masih belum cocok untuk pemain piala dunia pemain aja bnyk gak respect apalagi publik kecewa dengan gaya permainan loe,harus bisa kita curi akibat pelatih petrickout susunan pemain yang begitu kurang memuaskan klok yacob beckham nilai kamu di lapangan kamu masih belum cocok untuk pemain piala dunia pemain aja bnyk gak respect apalagi publik kecewa dengan gaya permainan loe,harus bisa kita curi akibat pelatih petrickout susunan pemain yang begitu kurang memuaskan klok yacob beckham nilai kamu di lapangan kamu masih belum cocok untuk pemain piala dunia pemain aja bnyk gak respect apalagi publik kecewa dengan gaya permainan loe
MEWAH DOANG.. ENGGAK PUNYA GAMEPLAY GUNANYA APA SEDUNGU ITUKAH DIPERTANDINGAN SEKRUSIALL ITU TIDAK BISA MEMBACA PERMAINAN,mewah doang enggak punya gameplay gunanya apa sedungu itukah dipertandingan sekrusiall itu tidak bisa membaca permainan,mewah doang enggak punya gameplay gunanya apa sedungu itukah dipertandingan sekrusiall itu tidak bisa membaca permainan
Patrick Kluivert kunciin di WC biar enggak experimen lagi si KLUIVRET,patrick kluivert kunciin di wc biar enggak experimen lagi si kluivret,patrick kluivert kunciin di wc biar enggak experimen lagi si kluivret
نأمل أن تحدث معجزة لإندونيسيا,,
Bismillah optimis 3 point 🇮🇩,bismillah optimis point,bismillah optimis point
respect dngerin sholawatan di tanah suci Arab.. kita sodara sebagai seiman,respect dngerin sholawatan di tanah suci arab kita sodara sebagai seiman,respect dngerin sholawatan di tanah suci arab kita sodara sebagai seiman
Yg Saya takutkan sekarang bukannya wasit.. Tapi pelatih kita sendiri 😅,yg saya takutkan sekarang bukannya wasit tapi pelatih kita sendiri,yang saya takutkan sekarang bukannya wasit tapi pelatih kita sendiri
"Tugas berat penentuan. Ini indonesia, maju tak gentar. Pakai saja amunisi naturalisasi semua gpp.demi bangsa",tugas berat penentuan ini indonesia maju tak gentar pakai saja amunisi naturalisasi semua gppdemi bangsa,tugas berat penentuan ini indonesia maju tak gentar pakai saja amunisi naturalisasi semua gppdemi bangsa
Banyak2 berdoa kawan,banyak berdoa kawan,banyak berdoa kawan
Taktik kocak ala patrik,taktik kocak ala patrik,taktik kocak ala patrik
Beckham kebanyakan ritual pegang rumput 😂,beckham kebanyakan ritual pegang rumput,beckham kebanyakan ritual pegang rumput
"Semoga Allah SWT Memberikan kemenangan Indonesia 🇲🇨 atas Irak,<br><br>Dan semoga Allah SWT Memberikan kekuatan Hingga 90 Menit kepada Para Pemain Yg berlaga Pagi ini Dan dijauhkan dari segala kecurangan Wasit., <br><br>Aaamminn ya Allah ya Robb,🤲🤲 Tetap Semgat Menuju world cup 2026 Didepan Mata,<br>Pantang Menyerah Sebelum Berperang.,💪🏻💪🏻💪🏻💪🏻🇲🇨🇲🇨🇲🇨🦅🦅🦅",semoga allah swt memberikan kemenangan indonesia atas irakbrbrdan semoga allah swt memberikan kekuatan hingga menit kepada para pemain yg berlaga pagi ini dan dijauhkan dari segala kecurangan wasit brbraaamminn ya allah ya robb tetap semgat menuju world cup didepan matabrpantang menyerah sebelum berperang,semoga allah swt memberikan kemenangan indonesia atas irakbrbrdan semoga allah swt memberikan kekuatan hingga menit kepada para pemain yang berlaga pagi ini dan dijauhkan dari segala kecurangan wasit brbraaamminn ya allah ya robb tetap semgat menuju world cup didepan matabrpantang menyerah sebelum berperang
"Yakop ,yance, bekam ,klok wajib maen..karena mereka timnas bisa juara",yakop yance bekam klok wajib maenkarena mereka timnas bisa juara,yakop yance bekam klok wajib maenkarena mereka timnas bisa juara
Allahuma soliwasalim wabarik alaih solu alaih,allahuma soliwasalim wabarik alaih solu alaih,allahuma soliwasalim wabarik alaih solu alaih
Kadang mau nangis timnas Di obok2 Di PSSI😭😭,kadang mau nangis timnas di obok di pssi,kadang mau nangis timnas di obok di pssi
"Semoga trio idzes, Ridho, hubner diturunin sama coach patrick amin.",semoga trio idzes ridho hubner diturunin sama coach patrick amin,semoga trio idzes ridho hubner diturunin sama coach patrick amin
PLS 3-0 BUAT AMANIN POINT YANG LEBIH AMAN,pls buat amanin point yang lebih aman,pls buat amanin point yang lebih aman
Ahhh sudahla...,ahhh sudahla,ahhh sudahla
Kembalikan STY tolong,kembalikan sty tolong,kembalikan sty tolong
Trima kasih yakob dan marc klok yang sudah mengubur mimpi timnas indonesia lolos piala dunia😢,trima kasih yakob dan marc klok yang sudah mengubur mimpi timnas indonesia lolos piala dunia,trima kasih yakob dan marc klok yang sudah mengubur mimpi timnas indonesia lolos piala dunia
Tangan hampa Broo teamnas Garuda zonk 😂😂😂😂😂,tangan hampa broo teamnas garuda zonk,tangan hampa broo teamnas garuda zonk
"Pemain lokal tarkam gak usah dipanggil timnas lagi cuma jadi beban tim aja, pssi harus cari 30 pemain diaspora di seluruh pnjuru dunia",pemain lokal tarkam gak usah dipanggil timnas lagi cuma jadi beban tim aja pssi harus cari pemain diaspora di seluruh pnjuru dunia,pemain lokal tarkam gak usah dipanggil timnas lagi cuma jadi beban tim aja pssi harus cari pemain diaspora di seluruh pnjuru dunia
"Pertandingan yang sulit, tp saya optimis Indonesia kalah, karna realistis aja dengan main kaya kemarin jauh deh buat menang.. Jangan kebanyakan mimpi bangun woiiii indo gak pernah menang lawan Irak. 😂",pertandingan yang sulit tp saya optimis indonesia kalah karna realistis aja dengan main kaya kemarin jauh deh buat menang jangan kebanyakan mimpi bangun woiiii indo gak pernah menang lawan irak,pertandingan yang sulit tapi saya optimis indonesia kalah karna realistis aja dengan main kaya kemarin jauh deh buat menang jangan kebanyakan mimpi bangun woiiii indo gak pernah menang lawan irak
sampai jumpa di 4 tahun depan 😢,sampai jumpa di tahun depan,sampai jumpa di tahun depan
Bibarkati.. bismillah,bibarkati bismillah,bibarkati bismillah
"Pertandingan lawan iraq dipimpin oleh wasit yang memberi Qatar 3 penalti saat final piala Asia Vs Jordania. Firasat saya kalaupun wasit itu menghadiahi kita 3 penalti tapi irak akan mencetak 4 atau 5 gol, karena pelatih kita The special one.. PATRICK KLUIVERT 🔥😂",pertandingan lawan iraq dipimpin oleh wasit yang memberi qatar penalti saat final piala asia vs jordania firasat saya kalaupun wasit itu menghadiahi kita penalti tapi irak akan mencetak atau gol karena pelatih kita the special one patrick kluivert,pertandingan lawan iraq dipimpin oleh wasit yang memberi qatar penalti saat final piala asia vs jordania firasat saya kalaupun wasit itu menghadiahi kita penalti tapi irak akan mencetak atau gol karena pelatih kita the special one patrick kluivert
Tolong jgn pake formasi towel lagi,tolong jgn pake formasi towel lagi,tolong jgn pake formasi towel lagi
Wajahnya kok terlihat tidak semangat ya!!,wajahnya kok terlihat tidak semangat ya,wajahnya kok terlihat tidak semangat ya
Mau menang mau kagak Petrik harus out setuju angkat jempol,mau menang mau kagak petrik harus out setuju angkat jempol,mau menang mau kagak petrik harus out setuju angkat jempol
MATCHDAY IN JEDDAH ❌ <br>MAFIA IN JEDDAH ✅,matchday in jeddah brmafia in jeddah,matchday in jeddah brmafia in jeddah
Jujur SJ wkt Indonesia dikasih hadiah finalti dan di eksekusi Kevin diks tanpa sadar air mata ini langsung menetes karna saking senangnya😭dan berharap Indonesia lolos piala dunia😭 tapi berjalannya pertandingan sampai selesai ternyata Indonesia kalah😭 ini hati sedihnya mnt ampun😭 sampe nangis,jujur sj wkt indonesia dikasih hadiah finalti dan di eksekusi kevin diks tanpa sadar air mata ini langsung menetes karna saking senangnyadan berharap indonesia lolos piala dunia tapi berjalannya pertandingan sampai selesai ternyata indonesia kalah ini hati sedihnya mnt ampun sampe nangis,jujur sj wkt indonesia dikasih hadiah finalti dan di eksekusi kevin diks tanpa sadar air mata ini langsung menetes karna saking senangnyadan berharap indonesia lolos piala dunia tapi berjalannya pertandingan sampai selesai ternyata indonesia kalah ini hati sedihnya mnt ampun sampe nangis
terus lah bermimpi jangan bangun😅,terus lah bermimpi jangan bangun,terus lah bermimpi jangan bangun
"assalamu’alaikum dari arab saudi 🤝<br>semoga timnas indonesia sukses lawan irak! kalau saudi lolos langsung, semoga indonesia bisa finis di posisi kedua dan lanjut ke playoff antar benua biar tembus piala dunia. kalian pantas banget — rakyatnya baik, fans-nya luar biasa, timnya juga keren banget! 🙌",assalamualaikum dari arab saudi brsemoga timnas indonesia sukses lawan irak kalau saudi lolos langsung semoga indonesia bisa finis di posisi kedua dan lanjut ke playoff antar benua biar tembus piala dunia kalian pantas banget rakyatnya baik fansnya luar biasa timnya juga keren banget,assalamualaikum dari arab saudi brsemoga timnas indonesia sukses lawan irak kalau saudi lolos langsung semoga indonesia bisa finis di posisi kedua dan lanjut ke playoff antar benua biar tembus piala dunia kalian pantas banget rakyatnya baik fansnya luar biasa timnya juga keren banget
"Mainkan Egy dia sudah improve, insyallah",mainkan egy dia sudah improve insyallah,mainkan egy dia sudah improve insyallah
Just play proven system,just play proven system,just play proven system
"Paes, ridho, idzes, hubner, diks, james, Haye, pelupesy, verdonk, oeratmangun, Ole.<br><br>selebihnya duduk manis dibangku dlu ya....termasuk si Kluivert, gk ush di dlm tribun aja....karna gw udh males ngeliat mukanye.",paes ridho idzes hubner diks james haye pelupesy verdonk oeratmangun olebrbrselebihnya duduk manis dibangku dlu yatermasuk si kluivert gk ush di dlm tribun ajakarna gw udh males ngeliat mukanye,paes ridho idzes hubner diks james haye pelupesy verdonk oeratmangun olebrbrselebihnya duduk manis dibangku dlu yatermasuk si kluivert tidak ush di dlm tribun ajakarna gw udh males ngeliat mukanye
"Yaaaaa aampuuunn nih sama patrick cs.. sampe masih aja yakob,klock,beckham di maenin.. sampe kalah lawan irak mending pecat patrick cs..",yaaaaa aampuuunn nih sama patrick cs sampe masih aja yakobklockbeckham di maenin sampe kalah lawan irak mending pecat patrick cs,yaaaaa aampuuunn nih sama patrick cs sampe masih aja yakobklockbeckham di maenin sampe kalah lawan irak mending pecat patrick cs
Selamat para pejuang.,selamat para pejuang,selamat para pejuang
Bismillah 🇮🇩,bismillah,bismillah
4 gol terjadi vs irak,gol terjadi vs irak,gol terjadi vs irak
"Emil Audero/Maarten Paes/Ernando Ari/Nadeo<br><br>Sandy Walsh/Mees Hilgers/Shayne Pattynama, Kevin Diks, Jay Idzes, Rizky Ridho, Calvin Verdonk/Dean James/Pratama Arhan<br><br>Joey Pelupessy, Thom Haye/Ricky Kambuaya/Ivar Jenner<br><br>Miliano Jonathans/Witan, Olè Romeny, Marselino Ferdinan/Eliano Reijnders/Ragnar Oratmangoen/Egy Maulana Vikri<br><br>5-2-2-1 lawan Saudi &amp; Iraq",emil auderomaarten paesernando arinadeobrbrsandy walshmees hilgersshayne pattynama kevin diks jay idzes rizky ridho calvin verdonkdean jamespratama arhanbrbrjoey pelupessy thom hayericky kambuayaivar jennerbrbrmiliano jonathanswitan ol romeny marselino ferdinaneliano reijndersragnar oratmangoenegy maulana vikribrbr lawan saudi amp iraq,emil auderomaarten paesernando arinadeobrbrsandy walshmees hilgersshayne pattynama kevin diks jay idzes rizky ridho calvin verdonkdean jamespratama arhanbrbrjoey pelupessy thom hayericky kambuayaivar jennerbrbrmiliano jonathanswitan ol romeny marselino ferdinaneliano reijndersragnar oratmangoenegy maulana vikribrbr lawan saudi amp iraq
sholawatan sek lurr,sholawatan sek lurr,sholawatan sek lurr
"Apa pun hasilnya, kami tetap bangga pada kalian. Usaha dan ketulusan kalian jauh lebih berharga dari sekadar hasil. Terima kasih sudah memberikan yang terbaik 🤍",apa pun hasilnya kami tetap bangga pada kalian usaha dan ketulusan kalian jauh lebih berharga dari sekadar hasil terima kasih sudah memberikan yang terbaik,apa pun hasilnya kami tetap bangga pada kalian usaha dan ketulusan kalian jauh lebih berharga dari sekadar hasil terima kasih sudah memberikan yang terbaik
"Please jngan mainkan mark klok, beckham",please jngan mainkan mark klok beckham,please jngan mainkan mark klok beckham
kabarnya beckham dan klok cedera dan tidak bisa main nanti malam. <br><br>sebuah kerugian besar buat timnas irak ✅,kabarnya beckham dan klok cedera dan tidak bisa main nanti malam brbrsebuah kerugian besar buat timnas irak,kabarnya beckham dan klok cedera dan tidak bisa main nanti malam brbrsebuah kerugian besar buat timnas irak
"Vibes nya udah serasa timnas Indonesia main di piala dunia 2026,,",vibes nya udah serasa timnas indonesia main di piala dunia,vibes nya udah serasa timnas indonesia main di piala dunia
Ayooooo fokusssssssss,ayooooo fokusssssssss,ayooooo fokusssssssss
Saya harap para pemain di sesuaikan dan di tempatkan pada aslinya mereka main sehingga kenyamanan bermain akan terbangun rapi.,saya harap para pemain di sesuaikan dan di tempatkan pada aslinya mereka main sehingga kenyamanan bermain akan terbangun rapi,saya harap para pemain di sesuaikan dan di tempatkan pada aslinya mereka main sehingga kenyamanan bermain akan terbangun rapi
Ayo pulang marilah pulang marilah pulang bersama2 😂😂,ayo pulang marilah pulang marilah pulang bersama,ayo pulang marilah pulang marilah pulang bersama
"Serahin sama coach Pastoor. kalah juga gak marah netizen. karna emang ngebenahin sesuatu yg udah kusut emang susah, kusut nya di mulai dari laga Australis vs Indonesia. seandainya gak coba-coba mungkin kita gak akan bertanding disini skrg. udah duduk manis di depan layar sambil nonton yg belum lolos. sayangnya kita tidak puas terjerembab di lubang yang sama hanya sekali",serahin sama coach pastoor kalah juga gak marah netizen karna emang ngebenahin sesuatu yg udah kusut emang susah kusut nya di mulai dari laga australis vs indonesia seandainya gak cobacoba mungkin kita gak akan bertanding disini skrg udah duduk manis di depan layar sambil nonton yg belum lolos sayangnya kita tidak puas terjerembab di lubang yang sama hanya sekali,serahin sama coach pastoor kalah juga gak marah netizen karna emang ngebenahin sesuatu yang udah kusut emang susah kusut nya di mulai dari laga australis vs indonesia seandainya gak cobacoba mungkin kita gak akan bertanding disini skrg udah duduk manis di depan layar sambil nonton yang belum lolos sayangnya kita tidak puas terjerembab di lubang yang sama hanya sekali
"Mending panggil sadiki ramdhani di bandingkan klok/beckham, punya power, penjelajah, skill, teknikal",mending panggil sadiki ramdhani di bandingkan klokbeckham punya power penjelajah skill teknikal,mending panggil sadiki ramdhani di bandingkan klokbeckham punya power penjelajah skill teknikal
"timnas aja bermaulid, yg anti maulid nonton ini gimana ya reaksinya hahaha 😂",timnas aja bermaulid yg anti maulid nonton ini gimana ya reaksinya hahaha,timnas aja bermaulid yang anti maulid nonton ini gimana ya reaksinya hahaha
PatrickOut,patrickout,patrickout
Pengen dah kerja jadi kitman gitu seru kali yaa 😂😂,pengen dah kerja jadi kitman gitu seru kali yaa,pengen dah kerja jadi kitman gitu seru kali yaa
Erick Thohir berkata...tidak usah saling mnyalahkan....sypa suruh kalian mimpi untuk piala dunia...😂😂😂...<br>Lebih baik bermimpi aja biar bUMn semakin membaik.,erick thohir berkatatidak usah saling mnyalahkansypa suruh kalian mimpi untuk piala duniabrlebih baik bermimpi aja biar bumn semakin membaik,erick thohir berkatatidak usah saling mnyalahkansypa suruh kalian mimpi untuk piala duniabrlebih baik bermimpi aja biar bumn semakin membaik
Semenjak pelatinya raja judi petrik sekarang nggak antusias banget liat Timnas,semenjak pelatinya raja judi petrik sekarang nggak antusias banget liat timnas,semenjak pelatinya raja judi petrik sekarang tidak antusias banget liat timnas
Gak nyangka Patrick begitu gobloknya masukin Beckham dan marklok starter duluan 😂😂😂😂,gak nyangka patrick begitu gobloknya masukin beckham dan marklok starter duluan,gak nyangka patrick begitu gobloknya masukin beckham dan marklok starter duluan
