komentar,clean,normal
smgh bang Jay hubner Riski ridho di main kan jangan cadangan lagi,smgh bang jay hubner riski ridho di main kan jangan cadangan lagi,smgh bang jay hubner riski ridho di main kan jangan cadangan lagi
"Main hp mulu dah, apa gabisa di sita gitu 🗿",main hp mulu dah apa gabisa di sita gitu,main hp mulu dah apa gabisa di sita gitu
Manteb ni backsoundnya sholawatan. Demen ane,manteb ni backsoundnya sholawatan demen ane,manteb ni backsoundnya sholawatan demen ane
dadah pildun 2026,dadah pildun,dadah pildun
smgh bang Jay hubner Riski ridho di main kan jangan cadangan lagi,smgh bang jay hubner riski ridho di main kan jangan cadangan lagi,smgh bang jay hubner riski ridho di main kan jangan cadangan lagi
"Jika turunkan tim inti, kita minimal dapat 1 poin vs Suadi Arabia,",jika turunkan tim inti kita minimal dapat poin vs suadi arabia,jika turunkan tim inti kita minimal dapat poin vs suadi arabia
marhaban Indonesia di Piala Dunia.  Bismillah. moga lawan Iraq main bagus dan menang 2 - 0,marhaban indonesia di piala dunia bismillah moga lawan iraq main bagus dan menang,marhaban indonesia di piala dunia bismillah moga lawan iraq main bagus dan menang
smoga line up nya tdk mengecewakan😂,smoga line up nya tdk mengecewakan,smoga line up nya tdk mengecewakan
"semangaaaaattt,pokus,,,kalah menang tetap sy dukung....2030 kalian akan semakin solid...bravo garuda...",semangaaaaatttpokuskalah menang tetap sy dukung kalian akan semakin solidbravo garuda,semangaaaaatttpokuskalah menang tetap sy dukung kalian akan semakin solidbravo garuda
Tim udh mewah gini mlh line up di otak atik jd amburadul,tim udh mewah gini mlh line up di otak atik jd amburadul,tim udh mewah gini mlh line up di otak atik jd amburadul
Guys sebagai pemain mereka udah kasih yang terbaik.,guys sebagai pemain mereka udah kasih yang terbaik,guys sebagai pemain mereka udah kasih yang terbaik
Ntah kenapa inget pertandingan ini JD kesel sama PK 😂,ntah kenapa inget pertandingan ini jd kesel sama pk,ntah kenapa inget pertandingan ini jd kesel sama pk
semngat lah kawan meski mimpi itu belum terwujud..,semngat lah kawan meski mimpi itu belum terwujud,semngat lah kawan meski mimpi itu belum terwujud
Kluivert harus di investigasi,kluivert harus di investigasi,kluivert harus di investigasi
"Bismillah Indonesia 4-0 Iraq, masih percaya pada Garuda🔥😊",bismillah indonesia iraq masih percaya pada garuda,bismillah indonesia iraq masih percaya pada garuda
Tolong kunciin klok dikamar mandi. Jgn dibuka sampe match selesai,tolong kunciin klok dikamar mandi jgn dibuka sampe match selesai,tolong kunciin klok dikamar mandi jgn dibuka sampe match selesai
"Jgn neko neko bngst, menang aja udah jgn di alesan lagi wasit atau apalah",jgn neko neko bngst menang aja udah jgn di alesan lagi wasit atau apalah,jgn neko neko bngst menang aja udah jgn di alesan lagi wasit atau apalah
ERICK THOHIR MUNDUR!!!,erick thohir mundur,erick thohir mundur
"Ikhlaskan saja…. Jangan berharap lagi….. tidak pernah sepesimis ini, bahkan dulu optimis timnas kalah tapi skrg justru pesimis timnas menang, itu dua rasa yang jelas berbeda konotasinya",ikhlaskan saja jangan berharap lagi tidak pernah sepesimis ini bahkan dulu optimis timnas kalah tapi skrg justru pesimis timnas menang itu dua rasa yang jelas berbeda konotasinya,ikhlaskan saja jangan berharap lagi tidak pernah sepesimis ini bahkan dulu optimis timnas kalah tapi skrg justru pesimis timnas menang itu dua rasa yang jelas berbeda konotasinya
Come on Boys🔥🔥🔥,come on boys,come on boys
Bismillah ayo timnas semangat,bismillah ayo timnas semangat,bismillah ayo timnas semangat
main jam 23.15 atau 02.30 ini mn yg bnar,main jam atau ini mn yg bnar,main jam atau ini mn yang bnar
Gue gak ngerti tapi somehow pengen ikut nimbrung 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉 😭,gue gak ngerti tapi somehow pengen ikut nimbrung,gue gak ngerti tapi somehow pengen ikut nimbrung
"Nih 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉 kayak jadi simbol keberuntungan deh, tapi versi misterius.",nih kayak jadi simbol keberuntungan deh tapi versi misterius,nih kayak jadi simbol keberuntungan deh tapi versi misterius
ＰＵＬ𝘼𝙐𝙒𝙄𝙉 tuh bener-bener fenomena internet sih.,tuh benerbener fenomena internet sih,tuh benerbener fenomena internet sih
Orang-orang tuh ngomong “aku nemuin sesuatu di P͟U͟L͟A͟U͟W͟I͟N” kayak lagi spiritual journey 😭,orangorang tuh ngomong aku nemuin sesuatu di pulauwin kayak lagi spiritual journey,orangorang tuh ngomong aku nemuin sesuatu di pulauwin kayak lagi spiritual journey
"Jujur, gue udah mulai FOMO gara-gara ρυℓαυωιɴ 😭",jujur gue udah mulai fomo garagara,jujur gue udah mulai fomo garagara
"P͟U͟L͟A͟U͟W͟I͟N kayaknya bukan nama tempat, tapi vibe-nya kayak dunia lain 😭",pulauwin kayaknya bukan nama tempat tapi vibenya kayak dunia lain,pulauwin kayaknya bukan nama tempat tapi vibenya kayak dunia lain
Tiap kali liat orang nyebut 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉 pasti komennya rame banget.,tiap kali liat orang nyebut pasti komennya rame banget,tiap kali liat orang nyebut pasti komennya rame banget
"Nih ρυℓαυωιɴ muncul di komen video masak aja, maksudnya apa coba 😭",nih muncul di komen video masak aja maksudnya apa coba,nih muncul di komen video masak aja maksudnya apa coba
"Nih 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉 muncul mulu di semua komen, kayak spam tapi elegan 😭",nih muncul mulu di semua komen kayak spam tapi elegan,nih muncul mulu di semua komen kayak spam tapi elegan
"Makin lama gue liat 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉, makin penasaran sumpah.",makin lama gue liat makin penasaran sumpah,makin lama gue liat makin penasaran sumpah
ＰＵＬ𝘼𝙐𝙒𝙄𝙉 kayak kode rahasia antar netizen deh.,kayak kode rahasia antar netizen deh,kayak kode rahasia antar netizen deh
Nih font-fontnya aja udah random banget tapi tetep rame 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉 🤣,nih fontfontnya aja udah random banget tapi tetep rame,nih fontfontnya aja udah random banget tapi tetep rame
"SACK PK menang ato kalah vs iraq, sebagai pendukung PK sejak awal, saya kecewa.",sack pk menang ato kalah vs iraq sebagai pendukung pk sejak awal saya kecewa,sack pk menang ato kalah vs iraq sebagai pendukung pk sejak awal saya kecewa
“Coba aja dulu 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉” katanya — ya tapi coba apaan 😭,coba aja dulu katanya ya tapi coba apaan,coba aja dulu katanya ya tapi coba apaan
Gue gak tau kenapa tapi tiap liat 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉 kayak langsung inget sesuatu yang “aneh tapi menarik”.,gue gak tau kenapa tapi tiap liat kayak langsung inget sesuatu yang aneh tapi menarik,gue gak tau kenapa tapi tiap liat kayak langsung inget sesuatu yang aneh tapi menarik
Kayaknya nih ＰＵ𝙇𝘼𝙐𝙒𝙄𝙉 lebih viral dari gosip artis minggu ini.,kayaknya nih lebih viral dari gosip artis minggu ini,kayaknya nih lebih viral dari gosip artis minggu ini
Semua orang bilang “percaya sama proses P͟U͟L͟A͟U͟W͟I͟N” — proses apanya sih 😭,semua orang bilang percaya sama proses pulauwin proses apanya sih,semua orang bilang percaya sama proses pulauwin proses apanya sih
Patrick &amp; Spongebob,patrick amp spongebob,patrick amp spongebob
Tolong yakob jangan main lawan Irak soalnya penyebabnya kekalahan dari arab Saudi berasal darinya,tolong yakob jangan main lawan irak soalnya penyebabnya kekalahan dari arab saudi berasal darinya,tolong yakob jangan main lawan irak soalnya penyebabnya kekalahan dari arab saudi berasal darinya
Gue kira ＰＵ𝙇𝘼𝙐𝙒𝙄𝙉 itu nama film Netflix baru loh.,gue kira itu nama film netflix baru loh,gue kira itu nama film netflix baru loh
P͟U͟L͟A͟U͟W͟I͟N vibes-nya kayak rahasia yang cuma orang tertentu tau.,pulauwin vibesnya kayak rahasia yang cuma orang tertentu tau,pulauwin vibesnya kayak rahasia yang cuma orang tertentu tau
"Nih tulisan ρυℓαυωιɴ kayak hipnotis deh, makin diliat makin pengen tau 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉.",nih tulisan kayak hipnotis deh makin diliat makin pengen tau,nih tulisan kayak hipnotis deh makin diliat makin pengen tau
Gue rasa 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉 ini semacam konspirasi halus 😭,gue rasa ini semacam konspirasi halus,gue rasa ini semacam konspirasi halus
"Gak ngerti lagi deh, ＰＵ𝙇𝘼𝙐𝙒𝙄𝙉 muncul di semua timeline gue.",gak ngerti lagi deh muncul di semua timeline gue,gak ngerti lagi deh muncul di semua timeline gue
Jangan sia-siain kesempatan dan jangan coba coba strategi ini bukan laga uji coba,jangan siasiain kesempatan dan jangan coba coba strategi ini bukan laga uji coba,jangan siasiain kesempatan dan jangan coba coba strategi ini bukan laga uji coba
"ＰＵ𝙇𝘼𝙐𝙒𝙄𝙉 tuh apa sih, tempat healing kah?",tuh apa sih tempat healing kah,tuh apa sih tempat healing kah
"Gue scroll Twitter, IG, TikTok — isinya cuma ρυℓαυωιɴ semua 😭",gue scroll twitter ig tiktok isinya cuma semua,gue scroll twitter ig tiktok isinya cuma semua
“Cuma di P͟U͟L͟A͟U͟W͟I͟N broo” — cuma di mana maksud lo?! 😭,cuma di pulauwin broo cuma di mana maksud lo,cuma di pulauwin broo cuma di mana maksud lo
Tiap liat namanya P͟U͟L͟A͟U͟W͟I͟N gue langsung pengen tau tapi takut juga 😭,tiap liat namanya pulauwin gue langsung pengen tau tapi takut juga,tiap liat namanya pulauwin gue langsung pengen tau tapi takut juga
Insya Allah 2-0 untuk Indonesia saat lawan Iraq. Aamiin YRA,insya allah untuk indonesia saat lawan iraq aamiin yra,insya allah untuk indonesia saat lawan iraq aamiin yra
Kayaknya 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉 tuh misteri nasional sih.,kayaknya tuh misteri nasional sih,kayaknya tuh misteri nasional sih
Nih orang-orang ngomong “udah nyoba ρυℓαυωιɴ belum?” kayak nyuruh nyobain minuman baru 😭,nih orangorang ngomong udah nyoba belum kayak nyuruh nyobain minuman baru,nih orangorang ngomong udah nyoba belum kayak nyuruh nyobain minuman baru
"Kemarin liat komen “hidup gue jadi lebih ringan sejak ρυℓαυωιɴ”, HA??",kemarin liat komen hidup gue jadi lebih ringan sejak ha,kemarin liat komen hidup gue jadi lebih ringan sejak ha
sedih liatnya,sedih liatnya,sedih liatnya
Bissmillah ya allah izinkan negara yg gila bola ini melaju ke piala dunia.. aamiin 🤲🔥🦅🫶🇮🇩🥰,bissmillah ya allah izinkan negara yg gila bola ini melaju ke piala dunia aamiin,bissmillah ya allah izinkan negara yang gila bola ini melaju ke piala dunia aamiin
Boleh,boleh,boleh
"Apapun yang terjadi, malam ini putra terbaik bangsa berjuang. Mari kita do&#39;akan dan dukung, semoga Allah menangkan pertandingan malam ini. Dan kita lolos piala dunia, Aamiin....",apapun yang terjadi malam ini putra terbaik bangsa berjuang mari kita doakan dan dukung semoga allah menangkan pertandingan malam ini dan kita lolos piala dunia aamiin,apapun yang terjadi malam ini putra terbaik bangsa berjuang mari kita doakan dan dukung semoga allah menangkan pertandingan malam ini dan kita lolos piala dunia aamiin
“Cuma di P͟U͟L͟A͟U͟W͟I͟N broo” — cuma di mana maksud lo?! 😭,cuma di pulauwin broo cuma di mana maksud lo,cuma di pulauwin broo cuma di mana maksud lo
"Semua circle udah ngomongin 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉, cuma gue yang bingung sendiri 😩",semua circle udah ngomongin cuma gue yang bingung sendiri,semua circle udah ngomongin cuma gue yang bingung sendiri
Ini ＰＵ𝙇𝘼𝙐𝙒𝙄𝙉 kok kayak jadi simbol ‘gue udah tau sesuatu tapi lo belum’.,ini kok kayak jadi simbol gue udah tau sesuatu tapi lo belum,ini kok kayak jadi simbol gue udah tau sesuatu tapi lo belum
"Gue gak tau kenapa, tapi tiap liat nama P͟U͟L͟A͟U͟W͟I͟N itu kayak vibes-nya “rahasia sukses netizen”.",gue gak tau kenapa tapi tiap liat nama pulauwin itu kayak vibesnya rahasia sukses netizen,gue gak tau kenapa tapi tiap liat nama pulauwin itu kayak vibesnya rahasia sukses netizen
Kayak gak mungkin gak pernah liat tulisan 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉 deh sekarang.,kayak gak mungkin gak pernah liat tulisan deh sekarang,kayak gak mungkin gak pernah liat tulisan deh sekarang
Gue sumpah gak ngerti tapi penasaran parah sama 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉.,gue sumpah gak ngerti tapi penasaran parah sama,gue sumpah gak ngerti tapi penasaran parah sama
ＰＵ𝙇𝘼𝙐𝙒𝙄𝙉 tuh kayak nama resort mewah tapi kok viralnya beda arah ya?,tuh kayak nama resort mewah tapi kok viralnya beda arah ya,tuh kayak nama resort mewah tapi kok viralnya beda arah ya
Tolong bekerja maksimal di laga sepenting ini🙏,tolong bekerja maksimal di laga sepenting ini,tolong bekerja maksimal di laga sepenting ini
"Apapun hasilnya tetap support timnas,yakin bisa menang insyallah",apapun hasilnya tetap support timnasyakin bisa menang insyallah,apapun hasilnya tetap support timnasyakin bisa menang insyallah
ρυℓαυωιɴ ini kayak urban legend versi online.,ini kayak urban legend versi online,ini kayak urban legend versi online
Nih yang komen “makasih P͟U͟L͟A͟U͟W͟I͟N” maksudnya apaan dah 😭,nih yang komen makasih pulauwin maksudnya apaan dah,nih yang komen makasih pulauwin maksudnya apaan dah
"Katanya temen gue, “percaya deh, abis kenal 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉 jadi hoki banget” — hoki apaan?",katanya temen gue percaya deh abis kenal jadi hoki banget hoki apaan,katanya temen gue percaya deh abis kenal jadi hoki banget hoki apaan
Baru bangun tidur aja di FYP udah nongol ＰＵ𝙇𝘼𝙐𝙒𝙄𝙉 lagi.,baru bangun tidur aja di fyp udah nongol lagi,baru bangun tidur aja di fyp udah nongol lagi
Mgkn kita harusnya pake pelatih asal jepang. Sama sama asia,mgkn kita harusnya pake pelatih asal jepang sama sama asia,mgkn kita harusnya pake pelatih asal jepang sama sama asia
"Smoga menang.. yg mau ngehujat sabar dulu,, nanti abis nih match..😅",smoga menang yg mau ngehujat sabar dulu nanti abis nih match,smoga menang yang mau ngehujat sabar dulu nanti abis nih match
"Serius deh, kayaknya algoritma gue dikuasain sama ρυℓαυωιɴ.",serius deh kayaknya algoritma gue dikuasain sama,serius deh kayaknya algoritma gue dikuasain sama
"Gue cuma mau tenang scroll, tapi ＰＵ𝙇𝘼𝙐𝙒𝙄𝙉 muncul lagi muncul lagi 😭",gue cuma mau tenang scroll tapi muncul lagi muncul lagi,gue cuma mau tenang scroll tapi muncul lagi muncul lagi
"“Lu belum coba P͟U͟L͟A͟U͟W͟I͟N?” Belum, karena gue bahkan gak tau itu apa 😭",lu belum coba pulauwin belum karena gue bahkan gak tau itu apa,lu belum coba pulauwin belum karena gue bahkan gak tau itu apa
<i>Bismillaahirrahmaanirrahiim</i> 🤲🤲,ibismillaahirrahmaanirrahiimi,ibismillaahirrahmaanirrahiimi
Bismillahirrahmanirrahim ya Allah menang 🤲,bismillahirrahmanirrahim ya allah menang,bismillahirrahmanirrahim ya allah menang
"Nih tulisan 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉 aesthetic banget sih, tapi isinya apaan??",nih tulisan aesthetic banget sih tapi isinya apaan,nih tulisan aesthetic banget sih tapi isinya apaan
"Gue pikir awalnya typo, ternyata emang rame ngomongin ＰＵ𝙇𝘼𝙐𝙒𝙄𝙉.",gue pikir awalnya typo ternyata emang rame ngomongin,gue pikir awalnya typo ternyata emang rame ngomongin
"Kayaknya semua temen gue udah tau ＰＵ𝙇𝘼𝙐𝙒𝙄𝙉 deh, tinggal gue doang yang clueless.",kayaknya semua temen gue udah tau deh tinggal gue doang yang clueless,kayaknya semua temen gue udah tau deh tinggal gue doang yang clueless
Semoga Timnas dapat 3 poin<br>Tuhan Memberkati,semoga timnas dapat poinbrtuhan memberkati,semoga timnas dapat poinbrtuhan memberkati
Semoga Timnas dapat 3 poin<br>Tuhan Memberkati,semoga timnas dapat poinbrtuhan memberkati,semoga timnas dapat poinbrtuhan memberkati
"Gue pikir awalnya cuma nama tempat wisata, eh makin lama makin rame aja 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉.",gue pikir awalnya cuma nama tempat wisata eh makin lama makin rame aja,gue pikir awalnya cuma nama tempat wisata eh makin lama makin rame aja
"Pagi-pagi buka Twitter, P͟U͟L͟A͟U͟W͟I͟N trending, kenapa sih??",pagipagi buka twitter pulauwin trending kenapa sih,pagipagi buka twitter pulauwin trending kenapa sih
"Gue udah mulai takut, ini 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉 beneran tempat apa sekte online 😭",gue udah mulai takut ini beneran tempat apa sekte online,gue udah mulai takut ini beneran tempat apa sekte online
"Tiap hari makin banyak aja orang bahas ρυℓαυωιɴ, gue makin bingung sumpah.",tiap hari makin banyak aja orang bahas gue makin bingung sumpah,tiap hari makin banyak aja orang bahas gue makin bingung sumpah
Semoga Timnas dapat 3 poin<br>Tuhan Memberkati,semoga timnas dapat poinbrtuhan memberkati,semoga timnas dapat poinbrtuhan memberkati
Wis mengalir wae lurrr...  Ora berexpektasi duwurrrr...  Mengko tibo ne loro😢,wis mengalir wae lurrr ora berexpektasi duwurrrr mengko tibo ne loro,wis mengalir wae lurrr ora berexpektasi duwurrrr mengko tibo ne loro
njir kosidahan,njir kosidahan,njir kosidahan
Kalo jersey biasanya cuci ulang atau ambil baru lagi ya?,kalo jersey biasanya cuci ulang atau ambil baru lagi ya,kalo jersey biasanya cuci ulang atau ambil baru lagi ya
"Gue kira kemarin tuh nama lagu baru, ternyata 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉 bukan 💀",gue kira kemarin tuh nama lagu baru ternyata bukan,gue kira kemarin tuh nama lagu baru ternyata bukan
"“Coba aja dulu 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉” katanya, tapi coba apanya? 😭",coba aja dulu katanya tapi coba apanya,coba aja dulu katanya tapi coba apanya
"Kok di IG explore gue muncul terus sih ＰＵＬ𝘼𝙐𝙒𝙄𝙉, aneh bener.",kok di ig explore gue muncul terus sih aneh bener,kok di ig explore gue muncul terus sih aneh bener
"Nih 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉 apaan sih, kenapa kayak semua orang tau tapi gue doang yang kudet 😭",nih apaan sih kenapa kayak semua orang tau tapi gue doang yang kudet,nih apaan sih kenapa kayak semua orang tau tapi gue doang yang kudet
Lo juga sering liat gak sih tulisan ρυℓαυωιɴ di komenan random?,lo juga sering liat gak sih tulisan di komenan random,lo juga sering liat gak sih tulisan di komenan random
"Nih 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉 tiap buka TikTok pasti nongol lagi, apaan sih sebenernya 😭",nih tiap buka tiktok pasti nongol lagi apaan sih sebenernya,nih tiap buka tiktok pasti nongol lagi apaan sih sebenernya
"SEMANGAT GARUDA KU❤❤, KESEMPATAN DIDEPAN MATA 🇮🇩🇮🇩🇮🇩🇮🇩",semangat garuda ku kesempatan didepan mata,semangat garuda ku kesempatan didepan mata
Takut Dijahilin Wasit ❌<br><br>Takut Lihat Line-Up  ✅,takut dijahilin wasit brbrtakut lihat lineup,takut dijahilin wasit brbrtakut lihat lineup
Sudahlah.,sudahlah,sudahlah
coach patrick jgn macem macem yya line upnya,coach patrick jgn macem macem yya line upnya,coach patrick jgn macem macem yya line upnya
Do&#39;a terbaik buat timnas,doa terbaik buat timnas,doa terbaik buat timnas
🙏 full diaspora lawan irak,full diaspora lawan irak,full diaspora lawan irak
Hadir 3 Menit,hadir menit,hadir menit
proses!<br>piala asia nanti kita pasti matang!,prosesbrpiala asia nanti kita pasti matang,prosesbrpiala asia nanti kita pasti matang
Kalau pun menang nasib masih di tentukan sama irak dan arab saudi yg akan bermain terakhir dan itu klo seri pertandingan mereka kita juga nggak bakal lolos 😢,kalau pun menang nasib masih di tentukan sama irak dan arab saudi yg akan bermain terakhir dan itu klo seri pertandingan mereka kita juga nggak bakal lolos,kalau pun menang nasib masih di tentukan sama irak dan arab saudi yang akan bermain terakhir dan itu klo seri pertandingan mereka kita juga tidak bakal lolos
"Jangan dongo ya startingnya malam ini, kalau sampe lokal pret si Klok, Beckham, yakob fix emang tim kepelatihan ini gabisa baca situasi Dan memahami attribute setiap pemain. Intinya dongo dah",jangan dongo ya startingnya malam ini kalau sampe lokal pret si klok beckham yakob fix emang tim kepelatihan ini gabisa baca situasi dan memahami attribute setiap pemain intinya dongo dah,jangan dongo ya startingnya malam ini kalau sampe lokal pret si klok beckham yakob fix emang tim kepelatihan ini gabisa baca situasi dan memahami attribute setiap pemain intinya dongo dah
Bojan hodak cocok latih timnas dengan strategi counter attack 👍🏻,bojan hodak cocok latih timnas dengan strategi counter attack,bojan hodak cocok latih timnas dengan strategi counter attack
Ayo bismillah Garudaku,ayo bismillah garudaku,ayo bismillah garudaku
Petrik tai awas lu turunin len AP bobrok,petrik tai awas lu turunin len ap bobrok,petrik tai awas lu turunin len ap bobrok
Patrick out Alex  head coach,patrick out alex head coach,patrick out alex head coach
gua ga ikhlas kalau misal ga lolos,gua ga ikhlas kalau misal ga lolos,gua tidak ikhlas kalau misal tidak lolos
Hanya bisa ikhlas,hanya bisa ikhlas,hanya bisa ikhlas
Mending jadiin Pastor head coach,mending jadiin pastor head coach,mending jadiin pastor head coach
"Kalau kalah tolong sadar diri, ANGKAT KAKI !!",kalau kalah tolong sadar diri angkat kaki,kalau kalah tolong sadar diri angkat kaki
"Harusnya pakai Jersey away , karna akan bisa bawa kita menang 🎉",harusnya pakai jersey away karna akan bisa bawa kita menang,harusnya pakai jersey away karna akan bisa bawa kita menang
"Patrick ini kesempatan lu, nasib lu ditentuin malam ini",patrick ini kesempatan lu nasib lu ditentuin malam ini,patrick ini kesempatan lu nasib lu ditentuin malam ini
Bismillah... InsyaAllah diberi kemenangan,bismillah insyaallah diberi kemenangan,bismillah insyaallah diberi kemenangan
Menang g ni,menang g ni,menang g ni
